ZCTA,PERCENT_TOTAL,POPULATION,A00_B99_R1000,Benign_R1000,D50_D64_R1000,E00_E99_R1000,G00_G99_R1000,J00_J99_R1000,K00_K99_R1000,N00_N99_R1000,O00_O07_R1000,O10_O99_R1000,P00_P99_R1000,Q00_Q99_R1000,Abnormal_R1000,Residual_R1000,V01_Y89_R1000,SIDS_R1000
ZCTA32830,0.000000243,5,0.00,0.00,0.00,0.00,0.00,0.00,200.00,0.00,0.00,0.00,0.00,0.00,0.00,200.00,0.00,0.00
ZCTA34141,0.000003255,67,0.00,0.00,0.00,14.93,0.00,0.00,29.85,0.00,0.00,0.00,0.00,0.00,29.85,14.93,179.10,0.00
ZCTA32356,0.000004420,91,0.00,0.00,0.00,10.99,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
ZCTA34679,0.000005003,103,0.00,0.00,0.00,0.00,0.00,29.13,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9.71,19.42,0.00
ZCTA33122,0.000005295,109,9.17,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9.17,18.35,0.00
ZCTA32639,0.000005975,123,0.00,0.00,0.00,8.13,8.13,8.13,8.13,8.13,0.00,0.00,0.00,0.00,0.00,0.00,8.13,8.13
ZCTA34268,0.000006218,128,7.81,0.00,0.00,0.00,0.00,7.81,0.00,23.44,0.00,0.00,0.00,0.00,0.00,39.06,15.63,0.00
ZCTA34661,0.000006703,138,0.00,0.00,0.00,0.00,0.00,21.74,7.25,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
ZCTA32683,0.000006801,140,0.00,0.00,0.00,0.00,0.00,14.29,0.00,7.14,0.00,0.00,0.00,0.00,0.00,7.14,21.43,0.00
ZCTA33744,0.000007043,145,6.90,0.00,0.00,6.90,0.00,13.79,6.90,6.90,0.00,0.00,0.00,0.00,6.90,20.69,6.90,0.00
ZCTA32447,0.000007821,161,6.21,0.00,0.00,0.00,6.21,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,12.42,0.00,0.00
ZCTA32463,0.000008306,171,0.00,5.85,0.00,0.00,5.85,5.85,5.85,0.00,0.00,0.00,0.00,5.85,0.00,5.85,5.85,0.00
ZCTA33847,0.000008306,171,5.85,0.00,0.00,0.00,5.85,23.39,5.85,0.00,0.00,0.00,0.00,0.00,0.00,17.54,5.85,0.00
ZCTA33924,0.000009715,200,0.00,0.00,0.00,0.00,5.00,5.00,0.00,5.00,0.00,0.00,0.00,0.00,0.00,5.00,5.00,0.00
ZCTA32157,0.000009812,202,0.00,0.00,0.00,0.00,0.00,24.75,0.00,0.00,0.00,0.00,0.00,0.00,0.00,19.80,4.95,0.00
ZCTA32970,0.000009909,204,0.00,0.00,0.00,0.00,0.00,9.80,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9.80,0.00,0.00
ZCTA33503,0.000009909,204,0.00,0.00,0.00,0.00,0.00,4.90,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.90,0.00
