Tract,AccessCare,Arthritis,BingeEat,BPHigh,BPMed,Cancer,ChildAsthma,CHD,Checkup,CholesterolScreen,ColonScreen,COPD,CorePreventionMen,CorePreventionWomen,Smoking,Dental,Diabetes,HighCholesterol,CKD,LPA,Mammography,MentalHealth,Obesity,PapTest,PersonalHealth,Sleep,Stroke,TeethLost
107000,20.3,29.8,11.6,44.9,79,5.8,12.2,7.3,74.9,80.2,64.1,9.3,32.9,26,21.8,52.6,16.3,34.6,4,37.8,83.6,17,41.2,85,17.1,41.5,5.1,22.8
135896,11.5,25.3,15.4,32.4,75,6.7,9.2,4.9,71,83.8,74,5.6,46.3,38.6,13.4,74.5,8.4,33.2,2.4,24.2,81,11.5,28.8,85.5,10.6,32.9,2.4,8.3
137000,16.4,28.9,13.3,37.4,75.2,6.7,10.9,6.7,71,80.1,71.7,8,46.4,39.5,18.4,61.2,11.8,33.5,3.2,30.6,80.2,15.1,35.5,82.9,14.5,37.8,3.6,14.2
150000,18.1,30.2,13.6,42.2,78.7,6.5,11.5,7.6,74.6,80.3,65,8.8,31.8,30.7,20.5,58.7,14.2,35.2,3.7,35.8,82,16.2,37.5,85.5,15.9,39.1,4.4,19.7
151000,19,28.3,13.2,41.2,76.4,6.1,11.5,6.9,75,80.2,64.9,8.6,33.6,31,21.2,60.6,14.2,34.5,3.5,34.8,82.4,16,38.4,85.5,16.1,38,4.2,18.1
177256,17,23.7,15.5,34.1,70.8,4.7,11.4,5.3,69.7,73.2,61.4,7.2,36,31.7,18.8,59.6,10.2,30.8,2.8,32,82.7,17.8,35.9,85,13.3,39,3.1,18.9
203000,12.8,19.4,20.3,28,62.1,5.4,9,4.2,52.3,71.6,62.2,4.5,39.6,33.3,17.9,65.2,7.3,31,2.3,20.8,71.3,11.5,34.2,79,10.7,31.3,2.3,12.9
404720,20.9,17.1,18.2,24.4,67,4.3,10.5,4.1,63.9,76.8,58,5.1,30.4,27.5,18.1,59.9,8.9,27.8,3.1,26.9,79.8,14.3,31.2,,12.4,38.1,2.3,14.7
412000,12.3,18.2,18.9,23.6,69.8,5.5,9.9,3.8,65.7,81.4,65.4,4.6,37.6,34.5,14.6,70.7,7.3,28.6,2.7,20.9,80,11.6,26.4,,10.1,35.2,2.1,9.4
427400,10.4,17.2,20.5,21.8,67.7,5.2,9.9,3.3,64.8,81.5,67,4.2,39.1,36.6,14.5,73.6,6.2,27.3,2.4,19.2,80.4,11.4,25.7,,9.2,34.8,1.8,7.6
427820,18.6,21,17,27.8,71.9,5.7,10.8,5.3,65.6,78.1,59.4,6.5,32.9,29.3,18.7,59.9,9.8,31.4,3.5,27.4,79.1,14.5,30.8,,13.6,37.3,2.9,15.1
446000,15.9,22.9,17,28.9,74.4,6.9,10.6,5.9,66.9,79.9,63.8,6.7,35.8,31.6,17.3,64.1,9.4,32.6,3.6,25.5,78.7,13.4,29.2,,12.9,35.5,3,13.2
454050,12.4,23,17.4,28.2,75.1,7.2,10.2,5.4,68,82.6,66.2,6.1,37.9,33.5,15.3,69.7,8.7,32.4,3.3,22.8,79.2,12,27.3,,11.6,34.5,2.8,10.7
455000,19.9,19.8,17.2,26.9,70.4,5.4,10.6,5,65,77.9,59.7,6,33.7,30.3,18.3,59.3,9.5,30.5,3.4,27.1,79.5,14.3,31.1,,13.3,37.3,2.7,14.3
465000,8.5,24.1,16.7,28.9,77.6,8.5,9.6,5.5,70,85.7,71.3,5.4,41.4,37.1,11.7,76,8.2,34,3.3,19,80.5,9.8,24.8,,10.1,31.4,2.6,7.2
471510,13.4,24.5,16.6,30.3,76.8,8,10.2,5.9,69.1,83.1,70.1,6.4,39.1,36,15.6,69.1,9.3,34.1,3.5,23.2,78.9,11.8,27.8,,11.8,34.2,2.9,9.7
473000,13.6,15.9,19.8,21.6,66.3,4.7,10.4,3.7,63.3,73.9,64.7,4.6,37,33,15.6,65.8,6.5,26.1,2.6,21.6,80.4,13.7,26.1,,10,35,2,10
