NPI,State,ZIP,County,Ownership
340156,NC,28719,SWAIN,Federal
204005,ME,4092,CUMBERLAND,Federal
30084,AZ,86503,APACHE,Federal
350063,ND,58316,ROLETTE,Federal
320062,NM,87313,MCKINLEY,Federal
50125,CA,95116,SANTA CLARA,Federal
430083,SD,57625,DEWEY,Federal
320057,NM,87501,SANTA FE,Federal
20026,AK,99508,ANCHORAGE,Federal
50133,CA,95901,YUBA,Federal
51306,CA,95988,GLENN,Federal
231334,MI,49286,LENAWEE,Federal
114016,GA,31522,GLYNN,Federal
21312,AK,99723,NORTH SLOPE BOROUH,Federal
30078,AZ,85016,MARICOPA,Federal
194103,LA,70806,E. BATON ROUGE,Federal
320060,NM,87327,MCKINLEY,Federal
241358,MN,56633,CASS,Federal
31308,AZ,85147,PINAL,Federal
30077,AZ,85542,GILA,Federal
320059,NM,87420,SAN JUAN,Federal
250127,MS,39350,NESHOBA,Federal
270074,MT,59417,GLACIER,Federal
31307,AZ,85344,LAPAZ,Federal
240206,MN,56671,BELTRAMI,Federal
430084,SD,57570,TODD,Federal
74014,CT,6840,FAIRFIELD,Federal
344016,NC,28540,ONSLOW,Federal
120014,HI,96766,KAUAI,Federal
271315,MT,59526,BLAINE,Federal
430082,SD,57702,PENNINGTON,Federal
234006,MI,49548,KENT,Federal
184008,KY,40242,JEFFERSON,Federal
224038,MA,2453,MIDDLESEX,Federal
320070,NM,87049,CIBOLA,Federal
320061,NM,87301,MCKINLEY,Federal
450840,TX,75013,COLLIN,Federal
220108,MA,2186,NORFOLK,Federal
184017,KY,42103,WARREN,Federal
180018,KY,40351,ROWAN,Federal
350064,ND,58538,SIOUX,Federal
320058,NM,88340,OTERO,Federal
30071,AZ,86504,APACHE,Federal
331303,NY,12723,SULLIVAN,Federal
240196,MN,55404,HENNEPIN,Federal
370170,OK,73507,COMANCHE,Federal
30113,AZ,85941,NAVAJO,Federal
271339,MT,59022,BIG HORN,Federal
10126,AL,36081,PIKE,Federal
320022,NM,88101,CURRY,Federal
281309,NE,68446,OTOE,District
640001,AS,96799,EASTERN DISTRICT,District
451329,TX,79778,UPTON,District
110105,GA,31768,COLQUITT,District
271309,MT,59349,PRAIRIE,District
451363,TX,77957,JACKSON,District
451337,TX,79241,FLOYD,District
501325,WA,98331,CLALLAM,District
191323,LA,71232,RICHLAND,District
110109,GA,30401,EMANUEL,District
51300,CA,96122,PLUMAS,District
340001,NC,28025,CABARRUS,District
451358,TX,79360,GAINES,District
291314,NV,89447,LYON,District
451364,TX,78119,KARNES,District
241376,MN,56334,POPE,District
230015,MI,49093,ST. JOSEPH,District
450856,TX,78258,BEXAR,District
10091,AL,36451,CLARKE,District
50397,CA,93210,FRESNO,District
381305,OR,97845,GRANT,District
271342,MT,59263,DANIELS,District
501305,WA,99122,LINCOLN,District
501303,WA,98586,PACIFIC,District
190007,LA,71457,NATCHITOCHES,District
281355,NE,69153,KEITH,District
451301,TX,76932,REAGAN,District
111319,GA,30233,BUTTS,District
171376,KS,66743,CRAWFORD,District
451385,TX,76634,BOSQUE,District
450369,TX,79201,CHILDRESS,District
531314,WY,82225,NIOBRARA,District
261318,MO,65560,DENT,District
10095,AL,36744,HALE,District
190020,LA,70791,E. BATON ROUGE,District
191308,LA,70346,ASCENSION,District
230100,MI,48764,IOSCO,District
50320,CA,94602,ALAMEDA,District
241365,MN,56215,SWIFT,District
190133,LA,70648,ALLEN,District
10108,AL,36067,AUTAUGA,District
381309,OR,97630,LAKE,District
451303,TX,76642,LIMESTONE,District
451306,TX,76849,KIMBLE,District
501333,WA,98926,KITTITAS,District
