State,NP
AK,Full
AL,Reduced
AR,Reduced
DE,Reduced
IL,Reduced
IN,Reduced
KS,Reduced
LA,Reduced
MS,Reduced
NJ,Reduced
NY,Reduced
OH,Reduced
PA,Reduced
UT,Reduced
WV,Reduced
WI,Reduced
CA,Restricted
GA,Restricted
MA,Restricted
MI,Restricted
MO,Restricted
NC,Restricted
OK,Restricted
SC,Restricted
TN,Restricted
TX,Restricted
VA,Restricted
FL,Restricted
AZ,Full
CO,Full
CT,Full
DC,Full
HI,Full
ID,Full
IA,Full
KY,Restricted
ME,Full
MD,Full
MN,Full
MT,Full
NE,Full
NV,Full
NH,Full
NM,Full
ND,Full
OR,Full
RI,Full
SD,Full
VT,Full
WA,Full
WY,Full
