"Provider_Number","HOSPITAL","ADDRESS","CITY","STATE",ZIP,"COUNTY","Readmit_2015","Readmit_2016","Readmit_2017","Readmit_2018","Readmit_2019","Readmit_2020"
"010001","SOUTHEAST ALABAMA MEDICAL CENTER","1108 ROSS CLARK CIRCLE","DOTHAN","AL",36301,"HOUSTON","0.32","0.47","0.65","0.54","0.84","1.54"
"010005","MARSHALL MEDICAL CENTER SOUTH","2505 U S HIGHWAY 431 NORTH","BOAZ","AL",35957,"MARSHALL","0.71","0.94","0.89","1.41","0.46","0.11"
"010006","NORTH ALABAMA MEDICAL CENTER","1701 VETERANS DRIVE","FLORENCE","AL",35630,"LAUDERDALE","No Penalty","0.09","0.58","1.21","1.51","0.65"
"010007","MIZELL MEMORIAL HOSPITAL","702 N MAIN ST","OPP","AL",36467,"COVINGTON","0.39","0.37","0.10","0.75","0.83","1.49"
"010008","CRENSHAW COMMUNITY HOSPITAL","101 HOSPITAL CIRCLE","LUVERNE","AL",36049,"CRENSHAW","0.10","0.01","0.19","0.09","0.05","No Penalty"
"010011","ST VINCENT'S EAST","50 MEDICAL PARK EAST DRIVE","BIRMINGHAM","AL",35235,"JEFFERSON","0.35","0.70","0.69","0.34","0.15","0.63"
"010012","DEKALB REGIONAL MEDICAL CENTER","200 MED CENTER DRIVE","FORT PAYNE","AL",35968,"DE KALB","0.73","0.97","1.48","1.30","0.46","0.39"
"010016","SHELBY BAPTIST MEDICAL CENTER","1000 FIRST STREET NORTH","ALABASTER","AL",35007,"SHELBY","0.82","0.54","0.56","0.37","0.15","0.18"
"010019","HELEN KELLER MEMORIAL HOSPITAL","1300 SOUTH MONTGOMERY AVENUE","SHEFFIELD","AL",35660,"COLBERT","0.11","0.33","1.06","0.74","0.94","1.73"
"010021","DALE MEDICAL CENTER","126 HOSPITAL AVE","OZARK","AL",36360,"DALE","0.87","0.71","0.40","0.32","0.16","0.13"
"010022","FLOYD CHEROKEE MEDICAL CENTER","400 NORTHWOOD DR","CENTRE","AL",35960,"CHEROKEE","No Penalty","No Penalty","No Penalty","No Penalty","0.01","No Penalty"
"010023","BAPTIST MEDICAL CENTER SOUTH","2105 EAST SOUTH BOULEVARD","MONTGOMERY","AL",36116,"MONTGOMERY","0.67","0.44","0.87","1.31","1.14","0.97"
"010024","JACKSON HOSPITAL & CLINIC INC","1725 PINE STREET","MONTGOMERY","AL",36106,"MONTGOMERY","0.44","0.57","0.49","0.89","1.40","1.85"
"010029","EAST ALABAMA MEDICAL CENTER","2000 PEPPERELL PARKWAY","OPELIKA","AL",36801,"LEE","0.73","1.25","1.85","1.44","1.68","1.68"
"010033","UNIVERSITY OF ALABAMA HOSPITAL","619 SOUTH 19TH STREET","BIRMINGHAM","AL",35233,"JEFFERSON","0.61","0.72","0.54","0.43","0.29","0.42"
"010034","COMMUNITY HOSPITAL INC","805 FRIENDSHIP ROAD","TALLASSEE","AL",36078,"ELMORE","0.08","No Penalty","0.03","0.03","0.22","0.14"
"010035","CULLMAN REGIONAL MEDICAL CENTER","1912 ALABAMA HIGHWAY 157","CULLMAN","AL",35058,"CULLMAN","0.91","0.57","0.25","1.41","2.07","1.50"
"010036","ANDALUSIA HEALTH","849 SOUTH THREE NOTCH STREET","ANDALUSIA","AL",36420,"COVINGTON","No Penalty","0.14","0.36","0.62","0.88","0.30"
"010038","STRINGFELLOW MEMORIAL HOSPITAL","301 EAST 18TH ST","ANNISTON","AL",36201,"CALHOUN","0.79","1.31","0.86","0.72","0.86","1.08"
"010039","HUNTSVILLE HOSPITAL","101 SIVLEY RD","HUNTSVILLE","AL",35801,"MADISON","0.02","0.70","0.29","0.67","0.70","1.37"
"010040","GADSDEN REGIONAL MEDICAL CENTER","1007 GOODYEAR AVENUE","GADSDEN","AL",35903,"ETOWAH","1.11","1.23","2.07","1.97","2.21","2.06"
"010044","MARION REGIONAL MEDICAL CENTER","1256 MILITARY STREET SOUTH","HAMILTON","AL",35570,"MARION","No Penalty","No Penalty","No Penalty","No Penalty","No Penalty","No Penalty"
"010045","FAYETTE MEDICAL CENTER","1653 TEMPLE AVENUE NORTH","FAYETTE","AL",35555,"FAYETTE","1.03","1.37","2.32","1.82","1.20","0.58"
"010046","RIVERVIEW REGIONAL MEDICAL CENTER","600 SOUTH THIRD STREET","GADSDEN","AL",35901,"ETOWAH","1.38","1.19","0.65","0.90","2.09","1.81"
"010047","GEORGIANA MEDICAL CENTER","515 N MIRANDA AVENUE","GEORGIANA","AL",36033,"BUTLER","0.61","0.41","0.77","0.43","0.68","1.11"
"010049","MEDICAL CENTER ENTERPRISE","400 N EDWARDS STREET","ENTERPRISE","AL",36330,"COFFEE","0.82","0.58","0.45","0.30","0.54","0.64"
"010051","GREENE COUNTY HOSPITAL","509 WILSON AVENUE","EUTAW","AL",35462,"GREENE","0.24","0.20","0.20","0.20","0.21","No Penalty"
"010052","LAKE MARTIN COMMUNITY HOSPITAL","201 MARIARDEN ROAD","DADEVILLE","AL",36853,"TALLAPOOSA","0.57","0.49","0.30","0.36","No Penalty","0.36"
"010055","FLOWERS HOSPITAL","4370 WEST MAIN STREET","DOTHAN","AL",36305,"HOUSTON","0.19","0.21","0.40","0.89","0.45","0.82"
"010056","ST VINCENT'S BIRMINGHAM","810 ST VINCENT'S DRIVE","BIRMINGHAM","AL",35205,"JEFFERSON","1.59","2.36","1.51","0.51","0.65","1.31"
"010058","BIBB MEDICAL CENTER","208 PIERSON AVE","CENTREVILLE","AL",35042,"BIBB","0.39","0.48","0.67","No Penalty","No Penalty","No Penalty"
"010059","LAWRENCE MEDICAL CENTER","202 HOSPITAL STREET","MOULTON","AL",35650,"LAWRENCE","0.34","0.16","0.08","No Penalty","0.30","0.64"
"010061","HIGHLANDS MEDICAL CENTER","380 WOODS COVE ROAD","SCOTTSBORO","AL",35768,"JACKSON","0.76","0.31","0.14","No Penalty","0.89","0.45"
"010062","WIREGRASS MEDICAL CENTER","1200 W MAPLE AVENUE","GENEVA","AL",36340,"GENEVA","No Penalty","No Penalty","No Penalty","0.18","0.63","0.29"
"010065","RUSSELL MEDICAL CENTER","3316 HIGHWAY 280","ALEXANDER CITY","AL",35010,"TALLAPOOSA","0.32","0.49","1.30","3.00","2.14","1.41"
"010069","MEDICAL CENTER BARBOUR","820 W WASHINGTON ST","EUFAULA","AL",36027,"BARBOUR","0.35","0.26","0.16","0.23","0.24","0.33"
"010073","CLAY COUNTY HOSPITAL","83825 HIGHWAY 9    P O BOX 1270","ASHLAND","AL",36251,"CLAY","0.78","0.31","No Penalty","0.07","0.22","No Penalty"
"010078","NORTHEAST ALABAMA REGIONAL MEDICAL CENTER","400 EAST 10TH STREET","ANNISTON","AL",36207,"CALHOUN","0.71","1.47","1.68","1.76","1.50","1.76"
"010079","ATHENS LIMESTONE HOSPITAL","700 WEST MARKET STREET","ATHENS","AL",35611,"LIMESTONE","0.09","0.54","1.12","0.94","0.63","0.94"
"010083","SOUTH BALDWIN REGIONAL MEDICAL CENTER","1613 NORTH MCKENZIE STREET","FOLEY","AL",36535,"BALDWIN","0.90","1.23","1.22","0.93","0.85","1.08"
"010085","DECATUR MORGAN HOSPITAL-DECATUR CAMPUS","1201 7TH STREET SE","DECATUR","AL",35601,"MORGAN","0.35","0.01","0.47","1.06","1.71","2.21"
"010086","NORTHWEST MEDICAL CENTER","1530 U S HIGHWAY 43","WINFIELD","AL",35594,"FAYETTE","0.28","0.27","0.53","0.06","No Penalty","No Penalty"
"010087","UNIVERSITY OF SOUTH ALABAMA MEDICAL CENTER","2451 FILLINGIM STREET","MOBILE","AL",36617,"MOBILE","No Penalty","No Penalty","0.01","0.04","0.11","0.11"
"010089","WALKER BAPTIST MEDICAL CENTER","3400 HIGHWAY 78 EAST","JASPER","AL",35502,"WALKER","1.35","1.59","0.90","0.48","0.34","0.31"
"010090","PROVIDENCE HOSPITAL","6801 AIRPORT BOULEVARD","MOBILE","AL",36608,"MOBILE","0.92","1.46","1.08","1.01","1.24","0.77"
"010091","GROVE HILL MEMORIAL HOSPITAL","295 JACKSON HWY S","GROVE HILL","AL",36451,"CLARKE","No Penalty","No Penalty","No Penalty","0.15","0.59","0.47"
"010092","D C H REGIONAL MEDICAL CENTER","809 UNIVERSITY BOULEVARD EAST","TUSCALOOSA","AL",35401,"TUSCALOOSA","1.24","1.25","1.44","1.45","0.96","1.01"
"010095","HALE COUNTY HOSPITAL","508 GREEN STREET","GREENSBORO","AL",36744,"HALE","No Penalty","No Penalty","No Penalty","No Penalty","No Penalty","No Penalty"
