Subject,Country,Year,Unit,Power,Value
GDP per hour worked,Australia,2011,US Dollar,Units,49.144818
GDP per hour worked,Australia,2012,US Dollar,Units,49.289611
GDP per hour worked,Australia,2013,US Dollar,Units,54.090499
GDP per hour worked,Australia,2014,US Dollar,Units,53.820427
GDP per hour worked,Australia,2015,US Dollar,Units,54.171924
CO? emissions from fuel combustion,Australia,2011,Tonnes,Millions,387.100000
CO? emissions from fuel combustion,Australia,2012,Tonnes,Millions,386.500000
CO? emissions from fuel combustion,Australia,2013,Tonnes,Millions,382.600000
CO? emissions from fuel combustion,Australia,2014,Tonnes,Millions,373.300000
CO? emissions from fuel combustion,Australia,2015,Tonnes,Millions,379.300000
Change in teachers'salary after 15 years of experience,Australia,2013,Index,Units,111.149060
Mean scores on the reading scale in PISA 2012: men,Australia,2012,Average score,Units,495.089560
 Adult population smoking daily,Australia,2013,Percentage,Units,13.000000
 Practising physicians,Australia,2011,Per 1 000 inhabitants,Units,3.320000
 Practising physicians,Australia,2012,Per 1 000 inhabitants,Units,3.310000
 Practising physicians,Australia,2013,Per 1 000 inhabitants,Units,3.370000
 Practising physicians,Australia,2014,Per 1 000 inhabitants,Units,3.440000
 Practising physicians,Australia,2015,Per 1 000 inhabitants,Units,3.500000
 Practising nurses,Australia,2011,Per 1 000 inhabitants,Units,10.190000
 Practising nurses,Australia,2012,Per 1 000 inhabitants,Units,10.220000
 Practising nurses,Australia,2013,Per 1 000 inhabitants,Units,11.370000
 Practising nurses,Australia,2014,Per 1 000 inhabitants,Units,11.350000
 Practising nurses,Australia,2015,Per 1 000 inhabitants,Units,11.450000
Sulphur Oxides Emmissions,Australia,2011,Tonnes,Thousands,2507.885000
Sulphur Oxides Emmissions,Australia,2012,Tonnes,Thousands,2519.090000
Sulphur Oxides Emmissions,Australia,2013,Tonnes,Thousands,2414.111000
Sulphur Oxides Emmissions,Australia,2014,Tonnes,Thousands,2499.432000
Sulphur Oxides Emmissions,Australia,2015,Tonnes,Thousands,2385.877000
Annual expenditure per student in short cycle tertiary education,Australia,2012,US Dollar,Units,8266.730800
Elderly population,Australia,2014,Percentage,Units,14.700000
Foreign value added as a share of gross exports,Australia,2011,Percentage,Units,14.100000
Population aged 25-34 below upper secondary,Australia,2014,Percentage,Units,13.280849
Population aged 25-34 below upper secondary,Australia,2014,Percentage,Units,38.587761
Regional elderly population: Maximum,Australia,2014,Average growth rate,Units,4.600000
Regional elderly population: Country average,Australia,2014,Average growth rate,Units,1.200000
Regional elderly population: Minimum,Australia,2014,Average growth rate,Units,0.700000
Total amount generated of municipal waste,Australia,2011,Tonnes,Thousands,13462.519000
Total amount generated of municipal waste,Australia,2012,Tonnes,Thousands,13344.891000
Total amount generated of municipal waste,Australia,2013,Tonnes,Thousands,13227.263000
Total amount generated of municipal waste,Australia,2014,Tonnes,Thousands,13109.635000
Total amount generated of municipal waste,Australia,2015,Tonnes,Thousands,13344.539000
Net official development assistance; as a percentage of gross national income,Australia,2011,US Dollar,Millions,4982.910000
Net official development assistance; as a percentage of gross national income,Australia,2012,US Dollar,Millions,5402.700000
Net official development assistance; as a percentage of gross national income,Australia,2013,US Dollar,Millions,4845.550000
Net official development assistance; as a percentage of gross national income,Australia,2014,US Dollar,Millions,4382.420000
Annual expenditure per student in Bachelorâ€™s; masterâ€™s; doctoral or equivalent level,Australia,2012,US Dollar,Units,18795.097000
