NPI,PercPenalty,Penalty
10149,0.01,0
30093,0.01,0
30123,0.01,0
40050,0.01,0
50248,0.01,0
50417,0.01,0
50424,0.01,0
50744,0.01,0
50772,0.01,0
60028,0.01,0
60064,0.01,0
60104,0.01,0
120006,0.01,0
120022,0.01,0
140281,0.01,0
160082,0.01,0
170133,0.01,0
180087,0.01,0
190183,0.01,0
200039,0.01,0
200063,0.01,0
220088,0.01,0
220175,0.01,0
250044,0.01,0
270074,0.01,0
310073,0.01,0
320038,0.01,0
330151,0.01,0
330211,0.01,0
340037,0.01,0
360027,0.01,0
360032,0.01,0
360159,0.01,0
360239,0.01,0
370013,0.01,0
380009,0.01,0
390112,0.01,0
430016,0.01,0
440192,0.01,0
450058,0.01,0
450213,0.01,0
450389,0.01,0
460014,0.01,0
460042,0.01,0
500008,0.01,0
670077,0.01,0
670106,0.01,0
10097,0.02,0
10128,0.02,0
30011,0.02,0
50075,0.02,0
50168,0.02,0
50234,0.02,0
50238,0.02,0
60011,0.02,0
60020,0.02,0
60049,0.02,0
60119,0.02,0
100166,0.02,0
110006,0.02,0
130002,0.02,0
150084,0.02,0
150173,0.02,0
180103,0.02,0
220077,0.02,0
220084,0.02,0
220101,0.02,0
230297,0.02,0
240101,0.02,0
240213,0.02,0
280003,0.02,0
300018,0.02,0
340113,0.02,0
360036,0.02,0
360095,0.02,0
370011,0.02,0
390013,0.02,0
390044,0.02,0
430077,0.02,0
440109,0.02,0
450035,0.02,0
450231,0.02,0
470005,0.02,0
490069,0.02,0
500051,0.02,0
670034,0.02,0
10034,0.03,0
30105,0.03,0
50272,0.03,0
50425,0.03,0
80006,0.03,0
100008,0.03,0
100068,0.03,0
100281,0.03,0
140083,0.03,0
140291,0.03,0
150030,0.03,0
150057,0.03,0
150076,0.03,0
180079,0.03,0
240006,0.03,0
240214,0.03,0
260137,0.03,0
270023,0.03,0
250168,0.03,0
310029,0.03,0
320011,0.03,0
330153,0.03,0
340084,0.03,0
340114,0.03,0
350063,0.03,0
360002,0.03,0
360161,0.03,0
370029,0.03,0
380056,0.03,0
380089,0.03,0
390096,0.03,0
390102,0.03,0
390163,0.03,0
440082,0.03,0
500054,0.03,0
520098,0.03,0
520207,0.03,0
370156,0.03,0
510082,0.03,0
10087,0.04,0
30010,0.04,0
30103,0.04,0
50071,0.04,0
50090,0.04,0
50189,0.04,0
50224,0.04,0
50348,0.04,0
50757,0.04,0
90004,0.04,0
100038,0.04,0
150010,0.04,0
150011,0.04,0
150150,0.04,0
160047,0.04,0
260078,0.04,0
280061,0.04,0
50776,0.04,0
310130,0.04,0
330103,0.04,0
330279,0.04,0
360074,0.04,0
370227,0.04,0
390153,0.04,0
420005,0.04,0
430084,0.04,0
440102,0.04,0
440184,0.04,0
450090,0.04,0
450610,0.04,0
470003,0.04,0
490037,0.04,0
500007,0.04,0
500039,0.04,0
500151,0.04,0
40017,0.05,0
50045,0.05,0
50108,0.05,0
50360,0.05,0
50745,0.05,0
60034,0.05,0
110146,0.05,0
120002,0.05,0
140089,0.05,0
140145,0.05,0
150058,0.05,0
170006,0.05,0
190064,0.05,0
230017,0.05,0
240053,0.05,0
240066,0.05,0
260057,0.05,0
260064,0.05,0
320001,0.05,0
320016,0.05,0
330057,0.05,0
330102,0.05,0
330136,0.05,0
360058,0.05,0
370234,0.05,0
