SUB,Subject,LOCATION,Country,YEA,Year,Unit Code,Unit,PowerCode Code,PowerCode,Reference Period Code,Reference Period,Value,Flag Codes,Flags
PRODINCOM_G1,GDP per hour worked,AUS,Australia,2011,2011,USD,US Dollar,0,Units,,,49.144818,,
PRODINCOM_G1,GDP per hour worked,AUS,Australia,2012,2012,USD,US Dollar,0,Units,,,49.289611,,
PRODINCOM_G1,GDP per hour worked,AUS,Australia,2013,2013,USD,US Dollar,0,Units,,,54.090499,,
PRODINCOM_G1,GDP per hour worked,AUS,Australia,2014,2014,USD,US Dollar,0,Units,,,53.820427,,
PRODINCOM_G1,GDP per hour worked,AUS,Australia,2015,2015,USD,US Dollar,0,Units,,,54.171924,,
AIRQTY_T1,CO? emissions from fuel combustion,AUS,Australia,2011,2011,TONNE,Tonnes,6,Millions,,,387.1,,
AIRQTY_T1,CO? emissions from fuel combustion,AUS,Australia,2012,2012,TONNE,Tonnes,6,Millions,,,386.5,,
AIRQTY_T1,CO? emissions from fuel combustion,AUS,Australia,2013,2013,TONNE,Tonnes,6,Millions,,,382.6,,
AIRQTY_T1,CO? emissions from fuel combustion,AUS,Australia,2014,2014,TONNE,Tonnes,6,Millions,,,373.3,,
AIRQTY_T1,CO? emissions from fuel combustion,AUS,Australia,2015,2015,TONNE,Tonnes,6,Millions,,,379.3,,
TEACHERS_T1A,Change in teachers'salary after 15 years of experience,AUS,Australia,2013,2013,IDX,Index,0,Units,2005_100,2005=100,111.14906,,
PISA_T1I,Mean scores on the reading scale in PISA 2012: men,AUS,Australia,2012,2012,AVSCORE,Average score,0,Units,,,495.08956,,
SMOKE_G1, Adult population smoking daily,AUS,Australia,2013,2013,PC,Percentage,0,Units,,,13,,
DOCTOR_G1, Practising physicians,AUS,Australia,2011,2011,1000HAB,Per 1 000 inhabitants,0,Units,,,3.32,,
DOCTOR_G1, Practising physicians,AUS,Australia,2012,2012,1000HAB,Per 1 000 inhabitants,0,Units,,,3.31,E,Estimated value
DOCTOR_G1, Practising physicians,AUS,Australia,2013,2013,1000HAB,Per 1 000 inhabitants,0,Units,,,3.37,,
DOCTOR_G1, Practising physicians,AUS,Australia,2014,2014,1000HAB,Per 1 000 inhabitants,0,Units,,,3.44,E,Estimated value
DOCTOR_G1, Practising physicians,AUS,Australia,2015,2015,1000HAB,Per 1 000 inhabitants,0,Units,,,3.5,E,Estimated value
NURSE_G1, Practising nurses,AUS,Australia,2011,2011,1000HAB,Per 1 000 inhabitants,0,Units,,,10.19,,
NURSE_G1, Practising nurses,AUS,Australia,2012,2012,1000HAB,Per 1 000 inhabitants,0,Units,,,10.22,E,Estimated value
