NPI,CaseMix
10001,1.8275
10005,1.3445
10006,1.713
10007,1.0742
10008,1.0087
10011,1.728
10012,1.3155
10016,1.6664
10018,1.0858
10019,1.3518
10021,1.3251
10022,1.0471
10023,1.8438
10024,1.8265
10029,1.7168
10032,0.9174
10033,2.3574
10034,1.0979
10035,1.4213
10036,1.2707
10038,1.3075
10039,1.8492
10040,1.7073
10044,1.1102
10045,1.1787
10046,1.6466
10047,0.8546
10049,1.3771
10051,0.9508
10052,0.9651
10055,1.7862
10056,1.944
10058,0.9968
10059,1.1226
10061,1.1766
10062,1.1117
10065,1.4826
10069,1.1459
10073,1.1116
10078,1.6272
10079,1.4893
10083,1.4252
10085,1.4766
10086,1.1199
10087,2.1624
10089,1.4577
10090,1.8365
10091,0.9292
10092,1.6856
10095,0.8709
10097,1.0882
10099,1.0782
10100,1.8239
10101,1.2109
10102,0.8759
10103,2.2498
10104,1.8905
10108,1.2193
10109,0.9143
10110,1.0145
10112,1.0709
10113,1.8323
10114,1.5551
10118,1.3662
10120,1.0643
10125,0.9714
10126,1.3135
10128,0.9584
10129,1.3345
10130,1.129
10131,1.8179
10138,0.7576
10139,1.78
10144,1.868
10146,0.9082
10148,0.9462
10149,1.4543
10150,1.2099
10157,1.1879
10158,1.1193
10164,1.3628
10168,2.2539
10169,1.1455
10173,1.0981
20001,2.1189
20006,1.6506
20008,1.2828
20012,1.5833
20017,2.1518
20018,0.9761
20024,1.5406
20026,1.7792
30001,1.3534
30002,2.5571
30006,1.9346
30007,1.65
30010,1.7309
30011,1.7847
30012,1.6811
30013,1.8407
30014,1.8042
30016,1.7403
30022,2.067
30023,2.1932
30024,2.5389
30030,1.8229
30033,1.4825
30036,1.9341
30037,2.1833
30038,1.7334
30043,1.4263
30055,1.7814
30061,1.9945
30062,1.5981
30064,2.258
30065,1.917
30068,1.5075
30069,1.8916
30071,0.9468
30073,1.3695
30074,0.8975
30077,0.8599
30078,1.3645
30083,1.4893
30084,1.0541
30085,1.8794
30087,1.8626
30088,1.6617
30089,2.0654
30092,1.7974
30093,1.7713
30094,2.2549
30101,1.5468
30103,2.2299
30105,2.8179
30107,2.4733
30108,2.6461
30110,1.5182
30111,1.5077
30112,2.3195
30113,0.9525
30114,1.5721
30115,1.7533
30117,1.5128
30119,1.7145
30120,1.4149
30121,2.0451
30122,1.7374
30123,1.7463
30130,1.593
30131,2.394
30132,1.2138
30134,1.2962
30136,1.4258
30137,1.1698
40001,1.2829
40002,1.2891
40004,1.8908
40007,2.2511
40010,1.8668
40011,1.0511
40014,1.4079
40015,1.1262
40016,2.0093
40017,1.4998
40018,1.1784
40019,1.0827
40020,1.831
40022,1.8765
40026,1.7486
40027,1.6911
40029,1.5662
40036,1.7295
40039,1.4259
40041,1.6422
40047,1.0274
40050,1.1909
40051,1.1862
40055,1.6898
40062,1.7896
40067,1.1298
40069,1.0915
40071,1.5691
40072,1.1526
40074,1.2529
40076,1.1085
40078,1.7081
40084,1.435
40085,1.0322
40088,1.6618
40114,2.0837
40118,1.6533
40119,1.6291
40132,1.0938
40134,2.3464
40137,1.4426
40147,2.2819
40152,2.3552
40153,1.2117
40154,1.5447
50002,1.5939
50006,1.8223
50007,1.997
50008,1.9132
50009,1.7933
50013,2.1756
50014,1.4397
50017,2.2585
50018,1.3977
50022,1.9177
50024,1.548
50025,2.3421
50026,1.729
50028,1.4084
50030,1.514
50036,1.8039
